ds,yhat,yhat_lower,yhat_upper
2024-07-24,26.67169032681184,25.72885223451487,27.601589730526612
2024-07-25,26.675242306343513,25.7122819007548,27.6531760347401
2024-07-26,26.680728106289934,25.69212916198119,27.642833806453893
2024-07-27,26.68787118458903,25.75951308232518,27.61758845585962
2024-07-28,26.69633636327479,25.66415061316655,27.617324157708353
2024-07-29,26.705739570101137,25.778713528429304,27.712327156320733
2024-07-30,26.715659056946954,25.759762512550914,27.76256201345086
2024-07-31,26.725647753836594,25.800468102591253,27.728833000351504
2024-08-01,26.73524637986652,25.71069342811248,27.739026056422965
2024-08-02,26.74399690624555,25.720886466786947,27.67249614546962
2024-08-03,26.751455952880175,25.771753765272532,27.764850685528057
2024-08-04,26.757207698978988,25.83098199037254,27.669913027925418
2024-08-05,26.76087587425566,25.767817291237513,27.72170579769113
2024-08-06,26.76213457688128,25.7974520770789,27.61493886486179
2024-08-07,26.7607173133694,25.74536921988965,27.686931972606533
2024-08-08,26.756424219696704,25.801711181932713,27.68883747810551
2024-08-09,26.74912709249285,25.796181388001862,27.734854764966787
2024-08-10,26.73877207906196,25.791336351980828,27.678913054342825
2024-08-11,26.7253799201102,25.766185564565927,27.715797802974475
2024-08-12,26.709043713896662,25.755957950021124,27.58188881327933
2024-08-13,26.68992424706324,25.674845502204885,27.65389566008133
